MT-1,Acme,Lahore,,,Punjab,0323,Automotive Industry,,,
MT11,ACME Scales,Gulberg,, lahore,Punjab,,Automotive Industry,,,
MT-114,Al Karam Textile Mills Karachi,H.T-/11 Landhi Karachi,,Landhi/Karachi,Sindh,0221 111 111 258,Textile Industry,,,headoffice@alkaram.com
MT-113,Asia Petroleum Karachi,Zulifqarabad Oil Terminal Bin Qasim,,Bin Qasim/Karachi,Sindh,021 34100601-8,Petroleum Industry ,,,
MT-140,Bulleh Shah Paper Mill Packages Ltd,4Km Riawind Road 7km kot Radha Kishan,Road Kasur,Kasur/Lahore,Punjab,+92 492 717341-46,Paper Industry,,,
MT-142,Century Paper &amp; Board Mills LTD,22 KM Lahore Multan Highway N-5,Jambar Khurd Kasur,Kasur/Lahore,Punjab,049-4510061,Paper Industry,,,
MT-12,Coca Cola Beverages,Shahbaz Pur Road,,Rahim Yar Khan,Punjab,+92-68-5870090 5870091 58700,Beverages Industry ,04235949266,,
MT-139,Coca Cola Beverages Pakistan Ltd Raiwind,23-KM Raiwind Road Lahore-53706,,Raiwind/Lahore,Punjab,+92-42-35320010-4,Beverages Industry ,,,
MT-13,D.G Khan Cement,9-A Khayaban-e-Sarwar ,Multan Road,Multan,Punjab,+92-42-36360153 ,Cement Industry ,,,
MT-15,English Biscuit ,Plot 1-4 Sector 23 Korangi Industrial ,,Karchi,Sindh ,21-111 326 326(450),Food Indusrty,,,
MT-119,Engro Eximp Agri Product Mureedke,12km Mureedke Sheikhupura Road Mureedk,,Mureedke/Sheikupura,Punjab,021 35297501,Agriculture Industy,,,
MT-17,Engro Eximp Agriproducts,12 Km Muridke Sheikhupura road Muridke,,Muridke,Punjab,0302 8690313,Agriculture Industy,,,
MT-18,Engro Fertilizer,Dahrki( Ghotki),,Ghotki,Sindh,0723 641001-9,Fertilzer Industry,,,
MT-111,Engro Fertilizers Ltd,Ez/1/P-II-IEastorn Bin Qasim Karachi,,Karachi,Sindh,+9221 3474 0040,Fertilzer Industry,,+9221 3474 0051,
MT-112,Engro Food Sahiwal,8 km Pak Pattan Road Sahiwal Pakistan,,Shahiwal,Punjab,+92 40 4305775,Food Indusrty,,,
MT-19,Engro Food Sukkar,Sukkar,,Shukkar,Sindh,071 5804100-16,Food Indusrty,,,
MT-116,Fatima Fertilizer LHR,Office No 30 2nd Floor Mall of Lahore,,Lahore,Punjab,042 111 328-462,Fertilzer Industry,,,
MT-115,Fatima Fertilizer RYK,Mukhtar Ghar Sadiqabad Rahim Yar Khan,,Sadiqabad/Rahim Yar Khan,Punjab,068 5951000,Fertilzer Industry,,,
MT-16,Fauji Fertilzer MirPur Mathelo,Distt. Ghotki,,Mirpur Mathelo,Sindh,(0723) 661500-09,Fertilzer Industry,,,
MT-126,Haidri Beverages PVT LTD Islamabad,C.D.A.Industrial Triangle  Kahuta Road,Islamabad Pakistan,Islamabad,Punjab,051-4490490,Beverages Industry ,,,
MT-117,Haier (PVT)  LTD Raiwind,Raiwind Road Lahore Pakistan,,Lahore,Punjab,92 (42) 35330371,Electronics Industry,,,
MT-128,IBRAHIM FIBRES LIMITED FSD,Ibrahim Fibers LTD 15-Club Road FSD,,Faisalablad,Punjab,041-2617836-41,Textile Industry,,,
MT-120,Innovative (Pvt) Limited Lahore,13-A Old FCC Ferozpur Road Lahore,,Lahore,Punjab,92 42 111 000 911,Food Indusrty,,,
MT-130,Interloop Limited HD-II FSD,1-Km Khurrianwala - Jaranwala Road,Khurrianwala Faisalabad-Pakistan,Faisalabad,Punjab,041 2619724,Textile Industry,,,
MT-129,Interloop Limited HD-III Raiwind,8th KM Manga Raiwind Road Raiwind,District Kasur Lahore Pakistan,Kasur/Lhaore,Punjab,041-2619724,Textile Industry,,,
MT-131,Jadeed Feeds Kabirwala Khanewal,6-KM-Kabirwala Road Khanewal-Pakistan,,Khanewal,Punjab,065 2400736,Poultry Industry,,,
MT-138,Khyber Tobacco Company Limited,Nowshera Road Mardan KPK Pakistan,,Mardan,KPK,+92-937861882,Tobacco Industry,,,
MT-14,Kot Addo Power Company  KAPCO,Kot Addu District,,Muzaffargarh ,Punjab,+92 (0)66 2301 041,Power Industry,,,
MT-133,Nestle Islamababd,Plot No 32 Sector I-10/3 Industrial ,Area Islamabad,Islamabad,Punjab,051-4445991-3,Food Indusrty,,,
MT-134,Nestle Sheikupura,29KM Sheikupura Road Lahore Pakistan,,Sheikupura,Punjab,056 3406617-26,Food Indusrty,,,
MT-127,Northern Bottling Company Peshawar,16 Industrial Estate Jumrood Road,Hayatabad Peshawar KPK Pakistan,Peshawar,KPT,091 5817100-4,Beverages Industry ,,,
MT-2,OMV Maurice Energy Ltd,ISE Tower 18th Floor 55-B Jinah Avenue ,Islamababd,Islamabad,Punjab,+92 51 111 668 668,Petroleum Industry ,,,
MT-11,PACKAGES LTD.,Shahrah-e-Roomi PO Amer Sidhu Lahore,,Lahore,Punjab,+92 42 35811541-46,Packing Industry,,,
MT-123,Pakistan Atomic Energy Commission,Near K-Block P.O. Box 1114  Islamabad,,Islamabad,Punjab,92 51 9209032,Chemical Industry,,,
MT-122,Pakistan Atomic Energy Minerals Centre,Ferozpur Road Near PCSIR Lab Lahore,,Lahore,Punjab,042 5758661,Chemical Industry,,,
MT-135,Pakistan Tobacco Comapny Akora,P.O Box PO Nowshehra 24040 District,Nowshehra KPK,Nowshehra,KPK,+92-923-630901-11,Tobacco Industry,,,
MT-136,Pakistan Tobacco Comapny Jehlum,P.O Box  # 1 49490 Jehlum Pakistan,,Jehlum,Punjab,+92-544-646500-7,Tobacco Industry,,,
MT-137,Pakistan Tobacco Comapny Lahore,Flat #128-129  Sector G Phase-1,Commercial Area DHA Lahore,Lahore,Punjab,042 35899359,Tobacco Industry,,,
MT-125,Pepsi Cola International Hattar,Plot 57/58 Phase IV Hattar Industrial,22610 KPK Pakistan,Hattar,KPK,099 5617091,Beverages Industry ,,,
MT-118,Pepsico International Sundar Estate,Plot 413 Sundar Industrial Estate,,Lahore,Punjab,92 (42) 35298470,Food Indusrty,,,
MT-141,Presson Descon International PVT LTD,18KM Ferozpur Road Lahroe-Pakistan 53000,,Lahore,Punjab,+92 42 35880390,Construction Company,+92 42 35880390,+92-42-3592 3720,
MT-121,Rafhan Maize Products Co. Ltd FSD,Rakh Canal East Road Faisalabad,,Faisalabad,Punjab,92 41 8540121-23,Food Indusrty,,,
MT-132,Unilever Pakistan Tea Factory Khanewal,Unilever Pakistan Ltd Tea Factory,Khanewal Pakistan,Khanewal,Punjab,,Tea Industry,,,
MT-124,United Detergents Unit SKP,22km Qilla Sattar Shah Sheikhupura Road,Lahore,Lahore,Punjab,042 7970136,Chemical Industry,,,
