id,state,abbreviation,county
1,Virginia,VA,Accomack County
2,Virginia,VA,Albemarle County
3,Virginia,VA,Alexandria City'
4,Virginia,VA,Alleghany County
5,Virginia,VA,Amelia County
6,Virginia,VA,Amherst County
7,Virginia,VA,Appomattox County
8,Virginia,VA,Arlington County
9,Virginia,VA,Augusta County
10,Virginia,VA,Bath County
11,Virginia,VA,Bedford County
12,Virginia,VA,Bland County
13,Virginia,VA,Botetourt County
14,Virginia,VA,Bristol City
15,Virginia,VA,Brunswick County
16,Virginia,VA,Buchanan County
17,Virginia,VA,Buckingham County
18,Virginia,VA,Buena Vista
19,Virginia,VA,Campbell County
20,Virginia,VA,Caroline County
21,Virginia,VA,Carroll County
22,Virginia,VA,Charles City County
23,Virginia,VA,Charlotte County
24,Virginia,VA,Charlottesville
25,Virginia,VA,Chesapeake
26,Virginia,VA,Chesterfield County
27,Virginia,VA,Clarke County
28,Virginia,VA,Colonial Heights
29,Virginia,VA,Covington City
30,Virginia,VA,Craig County
31,Virginia,VA,Culpeper County
32,Virginia,VA,Cumberland County
33,Virginia,VA,Danville City
34,Virginia,VA,Dickenson County
35,Virginia,VA,Dinwiddie County
36,Virginia,VA,Emporia City
37,Virginia,VA,Essex County
38,Virginia,VA,Fairfax City
39,Virginia,VA,Fairfax County
40,Virginia,VA,Falls Chruch City
41,Virginia,VA,Fauquier County
42,Virginia,VA,Floyd County
43,Virginia,VA,Fluvanna County
44,Virginia,VA,Franklin City
45,Virginia,VA,Franklin County
46,Virginia,VA,Frederick County
47,Virginia,VA,Fredericksburg City
48,Virginia,VA,Galax City
49,Virginia,VA,Giles County
50,Virginia,VA,Gloucester County
51,Virginia,VA,Goochland County
52,Virginia,VA,Grayson County
53,Virginia,VA,Greene County
54,Virginia,VA,Greensville County
55,Virginia,VA,Halifax County
56,Virginia,VA,Hampton City
57,Virginia,VA,Hanover County
58,Virginia,VA,Harrisonburg City
59,Virginia,VA,Henrico County
60,Virginia,VA,Henry County
61,Virginia,VA,Highland County
62,Virginia,VA,Hopewell City
